Time,Ch,ID,Coarse,Fine,CoarseDiff,FineDiff,Delta_ps,RawHex
21:26:56.892,UP,188,202,2186,,,,0x2F1115CA
21:26:56.892,DOWN,188,221,1410,19,-776,73441.26,0x6F0B04DD
21:26:56.892,UP,189,112,2575,,,,0x2F541F70
21:26:56.892,DOWN,189,131,1827,19,-748,73428.11,0x6F4E4683
21:26:56.893,UP,190,22,2906,,,,0x2F96B516
21:26:56.893,DOWN,190,41,2161,19,-745,73426.70,0x6F90E229
21:26:56.893,UP,191,188,3273,,,,0x2FD993BC
21:26:56.893,DOWN,191,207,2518,19,-755,73431.40,0x6FD3ACCF
21:26:56.893,UP,192,98,3709,,,,0x301CFB62
21:26:56.893,DOWN,192,117,2957,19,-752,73429.99,0x70171A75
21:26:56.893,UP,193,7,200,,,,0x30419107
21:26:56.893,DOWN,193,27,3338,20,3138,75449.78,0x705A141B
21:26:56.893,UP,194,173,568,,,,0x308471AD
21:26:56.893,DOWN,194,193,3686,20,3118,75459.17,0x709CCCC1
21:26:56.893,UP,195,83,957,,,,0x30C77B53
21:26:56.893,DOWN,195,102,227,19,-730,73419.66,0x70C1C666
21:26:56.893,UP,196,249,1344,,,,0x310A81F9
21:26:56.893,DOWN,196,12,620,19,-724,73416.84,0x7104D80C
21:26:56.893,UP,197,159,1788,,,,0x314DF99F
21:26:56.893,DOWN,197,178,1027,19,-761,73434.21,0x714806B2
21:26:56.893,UP,198,69,2115,,,,0x31908745
21:26:56.893,DOWN,198,88,1359,19,-756,73431.87,0x718A9E58
21:26:56.893,UP,199,235,2523,,,,0x31D3B7EB
21:26:56.893,DOWN,199,254,1784,19,-739,73423.88,0x71CDF0FE
21:26:56.893,UP,200,145,2925,,,,0x3216DB91
21:26:56.893,DOWN,200,164,2189,19,-736,73422.48,0x72111AA4
21:26:56.893,UP,201,55,3252,,,,0x32596937
21:26:56.893,DOWN,201,74,2501,19,-751,73429.52,0x72538A4A
21:26:56.893,UP,202,221,3732,,,,0x329D29DD
21:26:56.893,DOWN,202,240,2957,19,-775,73440.79,0x72971AF0
21:26:56.893,UP,203,130,173,,,,0x32C15B82
21:26:56.894,DOWN,203,150,3278,20,3105,75465.28,0x72D99C96
21:26:56.894,UP,204,40,586,,,,0x33049528
21:26:56.894,DOWN,204,60,3707,20,3121,75457.76,0x731CF63C
21:26:56.894,UP,205,206,1007,,,,0x3347DFCE
21:26:56.894,DOWN,205,225,244,19,-763,73435.15,0x7341E8E1
21:26:56.894,UP,206,116,1400,,,,0x338AF174
21:26:56.894,DOWN,206,135,652,19,-748,73428.11,0x73851887
21:26:56.894,UP,207,26,1788,,,,0x33CDF91A
21:26:56.894,DOWN,207,45,1007,19,-781,73443.60,0x73C7DE2D
21:26:56.894,UP,208,192,2145,,,,0x3410C3C0
21:26:56.894,DOWN,208,211,1394,19,-751,73429.52,0x740AE4D3
21:26:56.894,UP,209,102,2500,,,,0x34538966
21:26:56.894,DOWN,209,121,1766,19,-734,73421.54,0x744DCC79
21:26:56.894,UP,210,12,2889,,,,0x3496930C
21:26:56.894,DOWN,210,31,2146,19,-743,73425.76,0x7490C41F
21:26:56.894,UP,211,178,3288,,,,0x34D9B1B2
21:26:56.894,DOWN,211,197,2534,19,-754,73430.93,0x74D3CCC5
21:26:56.894,UP,212,88,3732,,,,0x351D2958
21:26:56.894,DOWN,212,107,2971,19,-761,73434.21,0x7517366B
21:26:56.894,UP,213,253,223,,,,0x3541BFFD
21:26:56.894,DOWN,213,17,3324,20,3101,75467.15,0x7559F811
21:26:56.894,UP,214,163,604,,,,0x3584B9A3
