phase,valid_pairs,up_mean_ps,up_var_ps2,up_std_ps,down_mean_ps,down_var_ps2,down_std_ps
0,3000,3442.133333,172.073556,13.117681,3486.451000,145.099599,12.045729
1,3000,3425.267333,162.701866,12.755464,3470.178333,147.031197,12.125642
2,3000,3407.602667,166.858126,12.917358,3452.416000,149.738944,12.236787
3,3000,3393.896667,152.088656,12.332423,3439.053000,132.682858,11.518805
4,3000,3377.633667,152.044133,12.330618,3425.560333,136.147027,11.668206
5,3000,3364.103333,159.679322,12.636428,3413.706000,143.576231,11.982330
6,3000,3352.900000,141.532000,11.896722,3403.185667,119.966528,10.952923
7,3000,3338.623333,150.220789,12.256459,3379.205333,175.463838,13.246276
8,3000,3332.157000,150.494351,12.267614,3368.684000,194.164811,13.934303
9,3000,3316.962667,152.659273,12.355536,3351.288667,121.976672,11.044305
10,3000,3299.014667,190.626452,13.806754,3334.443667,175.834827,13.260272
11,3000,3279.770333,186.966920,13.673585,3314.914333,149.860995,12.241773
12,3000,3264.079667,210.690653,14.515187,3299.235333,171.074618,13.079550
13,3000,3250.939000,176.247279,13.275816,3285.300000,196.333333,14.011900
14,3000,3228.678000,178.350983,13.354811,3264.392000,70.039669,8.368971
15,3000,3214.940333,191.410107,13.835104,3251.368667,201.770085,14.204580
16,3000,3196.777333,179.794420,13.408744,3230.526333,133.187307,11.540681
17,3000,3175.118667,168.141918,12.966955,3209.807667,129.757341,11.391108
18,3000,3155.960000,132.481067,11.510042,3190.581333,140.830052,11.867184
19,3000,3141.871000,162.755026,12.757548,3173.526667,145.036622,12.043115
20,3000,3128.065667,174.826021,13.222179,3160.306000,138.161031,11.754192
21,3000,3097.316000,174.999477,13.228737,3130.559667,131.821773,11.481366
22,3000,3082.729000,149.691559,12.234850,3117.935000,115.214775,10.733815
23,3000,3065.911667,158.481197,12.588932,3103.115333,126.524698,11.248320
24,3000,3045.237000,154.618164,12.434555,3085.479667,127.030253,11.270770
25,3000,3027.684667,129.449898,11.377605,3068.499333,123.828000,11.127803
26,3000,3012.177333,133.642553,11.560387,3053.639000,120.099346,10.958985
27,3000,3000.738000,137.064689,11.707463,3041.147333,100.445626,10.022257
28,3000,2964.431667,150.666664,12.274635,3008.375667,106.509875,10.320362
29,3000,2950.579333,129.913040,11.397940,2995.641667,129.831931,11.394382
30,3000,2933.331667,140.064331,11.834878,2978.173000,111.769071,10.572089
31,3000,2914.611333,130.072938,11.404952,2959.853333,152.942489,12.366992
32,3000,2896.392333,125.918408,11.221337,2941.403667,96.729387,9.835110
33,3000,2881.714667,116.069918,10.773575,2926.716000,137.082677,11.708231
34,3000,2870.461333,145.263172,12.052517,2913.213333,117.601822,10.844437
35,3000,2841.728667,189.277045,13.757799,2888.265333,182.506932,13.509513
36,3000,2833.043000,188.009151,13.711643,2879.116000,168.035211,12.962840
37,3000,2816.829000,166.931759,12.920207,2863.654333,139.810181,11.824136
38,3000,2800.956667,167.321456,12.935279,2847.728000,180.552016,13.436965
39,3000,2785.440000,190.147733,13.789407,2831.949667,143.637800,11.984899
40,3000,2770.885667,177.548595,13.324736,2818.781000,157.564372,12.552465
41,3000,2759.406000,155.767831,12.480698,2807.495333,150.801312,12.280119
42,3000,2742.404333,150.992181,12.287888,2790.031333,156.743018,12.519705
43,3000,2729.854000,161.536017,12.709682,2776.101667,149.179997,12.213926
44,3000,2713.156667,170.990122,13.076319,2757.707000,257.887818,16.058886
45,3000,2693.707667,171.964875,13.113538,2737.883333,137.237056,11.714822
46,3000,2675.238667,164.499038,12.825718,2725.101333,154.064398,12.412268
47,3000,2660.523667,199.630773,14.129075,2708.433667,293.662267,17.136577
48,3000,2647.656667,183.069456,13.530316,2692.928000,200.888149,14.173502
49,3000,2619.901333,179.428932,13.395108,2658.564333,147.357195,12.139077
50,3000,2606.603667,175.325253,13.241044,2646.019333,161.066960,12.691216
51,3000,2589.282333,177.390621,13.318807,2629.224333,165.563341,12.867142
52,3000,2571.009333,158.368580,12.584458,2609.628667,177.094778,13.307696
53,3000,2554.990667,158.791246,12.601240,2593.539333,116.713786,10.803415
54,3000,2539.578333,168.825197,12.993275,2581.247333,153.782160,12.400893
55,3000,2527.707000,147.420484,12.141684,2568.669333,197.554660,14.055414
56,3000,2476.806333,418.646827,20.460861,2534.044667,132.084672,11.492810
57,3000,2461.434000,189.977644,13.783238,2521.244333,168.379301,12.976105
