# TDC UART 扫描数据
# 生成时间: 2026-01-06 21:08:35
# Index, Type, ID, Fine, Flag, Coarse, Raw_Hex
0,UP,0,3538,1,117,0x001BA575
1,UP,1,3505,1,117,0x005B6375
2,UP,2,3518,1,117,0x009B7D75
3,UP,3,3505,1,117,0x00DB6375
4,UP,4,3476,1,117,0x011B2975
5,UP,5,3476,1,117,0x015B2975
6,UP,6,3458,1,117,0x019B0575
7,UP,7,3440,1,117,0x01DAE175
8,UP,8,3440,1,117,0x021AE175
9,UP,9,3440,1,117,0x025AE175
10,UP,10,3406,1,117,0x029A9D75
11,UP,11,3392,1,117,0x02DA8175
12,UP,12,3375,1,117,0x031A5F75
13,UP,13,3359,1,117,0x035A3F75
14,UP,14,3338,1,117,0x039A1575
15,UP,15,3311,1,117,0x03D9DF75
16,UP,16,3311,1,117,0x0419DF75
17,UP,17,3281,1,117,0x0459A375
18,UP,18,3259,1,117,0x04997775
19,UP,19,3259,1,117,0x04D97775
20,UP,20,3234,1,117,0x05194575
21,UP,21,3205,1,117,0x05590B75
22,UP,22,3162,1,117,0x0598B575
23,UP,23,3177,1,117,0x05D8D375
24,UP,24,3162,1,117,0x0618B575
25,UP,25,3136,1,117,0x06588175
26,UP,26,3121,1,117,0x06986375
27,UP,27,3105,1,117,0x06D84375
28,UP,28,3056,1,117,0x0717E175
29,UP,29,3018,1,117,0x07579575
30,UP,30,3034,1,117,0x0797B575
31,UP,31,3018,1,117,0x07D79575
32,UP,32,2998,1,117,0x08176D75
33,UP,33,2980,1,117,0x08574975
34,UP,34,2970,1,117,0x08973575
35,UP,35,2930,1,117,0x08D6E575
36,UP,36,2896,1,116,0x0916A174
37,UP,37,2930,1,116,0x0956E574
38,UP,38,2896,1,116,0x0996A174
39,UP,39,2881,1,116,0x09D68374
40,UP,40,2861,1,116,0x0A165B74
41,UP,41,2846,1,116,0x0A563D74
42,UP,42,2827,1,116,0x0A961774
43,UP,43,2815,1,116,0x0AD5FF74
44,UP,44,2806,1,116,0x0B15ED74
45,UP,45,2806,1,116,0x0B55ED74
46,UP,46,2759,1,116,0x0B958F74
47,UP,47,2759,1,116,0x0BD58F74
48,UP,48,2744,1,116,0x0C157174
49,UP,49,2712,1,116,0x0C553174
50,UP,50,2675,1,116,0x0C94E774
51,UP,51,2694,1,116,0x0CD50D74
52,UP,52,2661,1,116,0x0D14CB74
53,UP,53,2661,1,116,0x0D54CB74
54,UP,54,2638,1,116,0x0D949D74
55,UP,55,2638,1,116,0x0DD49D74
56,UP,56,2580,1,116,0x0E142974
57,UP,57,2561,1,116,0x0E540374
58,UP,58,2580,1,116,0x0E942974
59,UP,59,2561,1,116,0x0ED40374
60,UP,60,2521,1,116,0x0F13B374
61,UP,61,2512,1,116,0x0F53A174
62,UP,62,2499,1,116,0x0F938774
63,UP,63,2482,1,116,0x0FD36574
64,UP,64,2450,1,116,0x10132574
65,UP,65,2482,1,116,0x10536574
66,UP,66,2450,1,116,0x10932574
67,UP,67,2450,1,116,0x10D32574
68,UP,68,2414,1,116,0x1112DD74
69,UP,69,2399,1,116,0x1152BF74
70,UP,70,2374,1,116,0x11928D74
71,UP,71,2350,1,116,0x11D25D74
72,UP,72,2350,1,116,0x12125D74
73,UP,73,2334,1,116,0x12523D74
74,UP,74,2321,1,116,0x12922374
75,UP,75,2282,1,116,0x12D1D574
76,UP,76,2282,1,116,0x1311D574
77,UP,77,2247,1,116,0x13518F74
78,UP,78,2214,1,116,0x13914D74
79,UP,79,2214,1,116,0x13D14D74
80,UP,80,2202,1,116,0x14113574
81,UP,81,2178,1,116,0x14510574
