# TDC UART 扫描数据
# 生成时间: 2026-03-24 13:28:47
# Index, Type, ID, Fine, Flag, Coarse, Raw_Hex
0,UP,0,3427,1,117,0x006B1C75
1,DOWN,0,3468,0,139,0x406C608B
2,UP,1,3408,1,117,0x016A8475
3,DOWN,1,3453,0,139,0x416BE88B
4,UP,2,3408,1,117,0x026A8475
5,DOWN,2,3453,0,139,0x426BE88B
6,UP,3,3393,1,117,0x036A0C75
7,DOWN,3,3436,0,139,0x436B608B
8,UP,4,3360,1,117,0x04690475
9,DOWN,4,3405,0,139,0x446A688B
10,UP,5,3360,1,117,0x05690475
11,DOWN,5,3405,0,139,0x456A688B
12,UP,6,3360,1,117,0x06690475
13,DOWN,6,3405,0,139,0x466A688B
14,UP,7,3344,1,117,0x07688475
15,DOWN,7,3387,0,139,0x4769D88B
16,UP,8,3322,1,117,0x0867D475
17,DOWN,8,3352,0,139,0x4868C08B
18,UP,9,3322,1,117,0x0967D475
19,DOWN,9,3352,0,139,0x4968C08B
20,UP,10,3308,1,117,0x0A676475
21,DOWN,10,3326,0,139,0x4A67F08B
22,UP,11,3281,1,117,0x0B668C75
23,DOWN,11,3308,0,139,0x4B67608B
24,UP,12,3266,1,117,0x0C661475
25,DOWN,12,3302,0,139,0x4C67308B
26,UP,13,3244,1,117,0x0D656475
27,DOWN,13,3266,0,139,0x4D66108B
28,UP,14,3219,1,117,0x0E649C75
29,DOWN,14,3248,0,139,0x4E65808B
30,UP,15,3219,1,117,0x0F649C75
31,DOWN,15,3224,0,139,0x4F64C08B
32,UP,16,3204,1,117,0x10642475
33,DOWN,16,3233,0,139,0x5065088B
34,UP,17,3189,1,117,0x1163AC75
35,DOWN,17,3213,0,139,0x5164688B
36,UP,18,3154,1,117,0x12629475
37,DOWN,18,3181,0,139,0x5263688B
38,UP,19,3154,1,117,0x13629475
39,DOWN,19,3181,0,139,0x5363688B
40,UP,20,3119,1,117,0x14617C75
41,DOWN,20,3152,0,139,0x5462808B
42,UP,21,3087,1,117,0x15607C75
43,DOWN,21,3118,0,139,0x5561708B
44,UP,22,3068,1,117,0x165FE475
45,DOWN,22,3118,0,139,0x5661708B
46,UP,23,3055,1,117,0x175F7C75
47,DOWN,23,3096,0,139,0x5760C08B
48,UP,24,3055,1,117,0x185F7C75
49,DOWN,24,3081,0,139,0x5860488B
50,UP,25,3016,1,117,0x195E4475
51,DOWN,25,3067,0,139,0x595FD88B
52,UP,26,3030,1,116,0x1A5EB474
53,DOWN,26,3047,0,139,0x5A5F388B
54,UP,27,2999,1,116,0x1B5DBC74
55,DOWN,27,3033,0,139,0x5B5EC88B
56,UP,28,2962,1,116,0x1C5C9474
57,DOWN,28,3007,0,138,0x5C5DF88A
58,UP,29,2940,1,116,0x1D5BE474
59,DOWN,29,2983,0,138,0x5D5D388A
60,UP,30,2940,1,116,0x1E5BE474
61,DOWN,30,2983,0,138,0x5E5D388A
62,UP,31,2912,1,116,0x1F5B0474
63,DOWN,31,2969,0,138,0x5F5CC88A
64,UP,32,2893,1,116,0x205A6C74
65,DOWN,32,2940,0,138,0x605BE08A
66,UP,33,2881,1,116,0x215A0C74
67,DOWN,33,2940,0,138,0x615BE08A
68,UP,34,2870,1,116,0x2259B474
69,DOWN,34,2916,0,138,0x625B208A
70,UP,35,2851,1,116,0x23591C74
71,DOWN,35,2884,0,138,0x635A208A
72,UP,36,2809,1,116,0x2457CC74
73,DOWN,36,2884,0,138,0x645A208A
74,UP,37,2843,1,116,0x2558DC74
75,DOWN,37,2884,0,138,0x655A208A
76,UP,38,2809,1,116,0x2657CC74
77,DOWN,38,2864,0,138,0x6659808A
78,UP,39,2809,1,116,0x2757CC74
79,DOWN,39,2845,0,138,0x6758E88A
80,UP,40,2775,1,116,0x2856BC74
81,DOWN,40,2830,0,138,0x6858708A
82,UP,41,2775,1,116,0x2956BC74
83,DOWN,41,2816,0,138,0x6958008A
84,UP,42,2745,1,116,0x2A55CC74
85,DOWN,42,2786,0,138,0x6A57108A
86,UP,43,2712,1,116,0x2B54C474
87,DOWN,43,2767,0,138,0x6B56788A
88,UP,44,2712,1,116,0x2C54C474
89,DOWN,44,2767,0,138,0x6C56788A
90,UP,45,2678,1,116,0x2D53B474
91,DOWN,45,2728,0,138,0x6D55408A
92,UP,46,2678,1,116,0x2E53B474
93,DOWN,46,2708,0,138,0x6E54A08A
94,UP,47,2660,1,116,0x2F532474
95,DOWN,47,2698,0,138,0x6F54508A
96,UP,48,2646,1,116,0x3052B474
97,DOWN,48,2683,0,138,0x7053D88A
98,UP,49,2633,1,116,0x31524C74
99,DOWN,49,2649,0,138,0x7152C88A
100,UP,50,2604,1,116,0x32516474
101,DOWN,50,2623,0,138,0x7251F88A
102,UP,51,2584,1,116,0x3350C474
103,DOWN,51,2623,0,138,0x7351F88A
104,UP,52,2571,1,116,0x34505C74
105,DOWN,52,2611,0,138,0x7451988A
106,UP,53,2558,1,116,0x354FF474
107,DOWN,53,2591,0,138,0x7550F88A
108,UP,54,2542,1,116,0x364F7474
109,DOWN,54,2571,0,138,0x7650588A
110,UP,55,2513,1,116,0x374E8C74
111,DOWN,55,2556,0,138,0x774FE08A
112,UP,56,2457,1,116,0x384CCC74
113,DOWN,56,2519,0,138,0x784EB88A
114,UP,57,2457,1,116,0x394CCC74
115,DOWN,57,2499,0,138,0x794E188A
116,UP,58,2457,1,116,0x3A4CCC74
117,DOWN,58,2499,0,138,0x7A4E188A
118,UP,59,2457,1,116,0x3B4CCC74
119,DOWN,59,2485,0,138,0x7B4DA88A
120,UP,60,2414,1,116,0x3C4B7474
121,DOWN,60,2473,0,138,0x7C4D488A
122,UP,61,2399,1,116,0x3D4AFC74
123,DOWN,61,2458,0,138,0x7D4CD08A
124,UP,62,2399,1,116,0x3E4AFC74
125,DOWN,62,2427,0,138,0x7E4BD88A
126,UP,63,2389,1,116,0x3F4AAC74
127,DOWN,63,2409,0,138,0x7F4B488A
128,UP,0,2347,1,116,0x00495C74
129,DOWN,0,2390,0,138,0x404AB08A
130,UP,1,2362,1,116,0x0149D474
131,DOWN,1,2390,0,138,0x414AB08A
132,UP,2,2347,1,116,0x02495C74
133,DOWN,2,2375,0,138,0x424A388A
134,UP,3,2328,1,116,0x0348C474
135,DOWN,3,2349,0,138,0x4349688A
136,UP,4,2304,1,116,0x04480474
137,DOWN,4,2333,0,138,0x4448E88A
138,UP,5,2289,1,116,0x05478C74
139,DOWN,5,2333,0,138,0x4548E88A
