# TDC UART 扫描数据
# 生成时间: 2026-01-07 20:02:08
# Index, Type, ID, Fine, Flag, Coarse, Raw_Hex
0,UP,0,3583,1,112,0x001BFF70
1,DOWN,0,3799,0,134,0x401DAE86
2,UP,1,3553,1,112,0x005BC370
3,DOWN,1,3734,0,134,0x405D2C86
4,UP,2,3583,1,112,0x009BFF70
5,DOWN,2,3755,0,134,0x409D5686
6,UP,3,3553,1,112,0x00DBC370
7,DOWN,3,3734,0,134,0x40DD2C86
8,UP,4,3537,1,112,0x011BA370
9,DOWN,4,3734,0,134,0x411D2C86
10,UP,5,3518,1,112,0x015B7D70
11,DOWN,5,3711,0,134,0x415CFE86
12,UP,6,3504,1,112,0x019B6170
13,DOWN,6,3696,0,134,0x419CE086
14,UP,7,3492,1,112,0x01DB4970
15,DOWN,7,3675,0,134,0x41DCB686
16,UP,8,3474,1,112,0x021B2570
17,DOWN,8,3661,0,134,0x421C9A86
18,UP,9,3474,1,112,0x025B2570
19,DOWN,9,3675,0,134,0x425CB686
20,UP,10,3458,1,112,0x029B0570
21,DOWN,10,3630,0,134,0x429C5C86
22,UP,11,3441,1,112,0x02DAE370
23,DOWN,11,3630,0,134,0x42DC5C86
24,UP,12,3408,1,112,0x031AA170
25,DOWN,12,3597,0,134,0x431C1A86
26,UP,13,3408,1,112,0x035AA170
27,DOWN,13,3583,0,134,0x435BFE86
28,UP,14,3375,1,112,0x039A5F70
29,DOWN,14,3533,0,134,0x439B9A86
30,UP,15,3349,1,112,0x03DA2B70
31,DOWN,15,3533,0,134,0x43DB9A86
32,UP,16,3338,1,112,0x041A1570
33,DOWN,16,3533,0,134,0x441B9A86
34,UP,17,3323,1,112,0x0459F770
35,DOWN,17,3485,0,134,0x445B3A86
36,UP,18,3295,1,112,0x0499BF70
37,DOWN,18,3469,0,134,0x449B1A86
38,UP,19,3280,1,112,0x04D9A170
39,DOWN,19,3454,0,134,0x44DAFC86
40,UP,20,3258,1,112,0x05197570
41,DOWN,20,3438,0,134,0x451ADC86
42,UP,21,3219,1,111,0x0559276F
43,DOWN,21,3405,0,134,0x455A9A86
44,UP,22,3204,1,111,0x0599096F
45,DOWN,22,3387,0,134,0x459A7686
46,UP,23,3204,1,111,0x05D9096F
47,DOWN,23,3387,0,134,0x45DA7686
48,UP,24,3169,1,111,0x0618C36F
49,DOWN,24,3353,0,134,0x461A3286
50,UP,25,3169,1,111,0x0658C36F
51,DOWN,25,3328,0,134,0x465A0086
52,UP,26,3133,1,111,0x06987B6F
53,DOWN,26,3320,0,134,0x4699F086
54,UP,27,3133,1,111,0x06D87B6F
55,DOWN,27,3312,0,134,0x46D9E086
56,UP,28,3084,1,111,0x0718196F
57,DOWN,28,3278,0,133,0x47199C85
58,UP,29,3071,1,111,0x0757FF6F
59,DOWN,29,3278,0,133,0x47599C85
60,UP,30,3062,1,111,0x0797ED6F
61,DOWN,30,3278,0,133,0x47999C85
62,UP,31,3033,1,111,0x07D7B36F
63,DOWN,31,3237,0,133,0x47D94A85
64,UP,32,3033,1,111,0x0817B36F
65,DOWN,32,3215,0,133,0x48191E85
66,UP,33,3016,1,111,0x0857916F
67,DOWN,33,3202,0,133,0x48590485
68,UP,34,2997,1,111,0x08976B6F
69,DOWN,34,3187,0,133,0x4898E685
70,UP,35,2970,1,111,0x08D7356F
71,DOWN,35,3155,0,133,0x48D8A685
72,UP,36,2958,1,111,0x09171D6F
73,DOWN,36,3139,0,133,0x49188685
74,UP,37,2945,1,111,0x0957036F
75,DOWN,37,3133,0,133,0x49587A85
76,UP,38,2931,1,111,0x0996E76F
77,DOWN,38,3121,0,133,0x49986285
78,UP,39,2912,1,111,0x09D6C16F
79,DOWN,39,3096,0,133,0x49D83085
80,UP,40,2901,1,111,0x0A16AB6F
81,DOWN,40,3096,0,133,0x4A183085
82,UP,41,2879,1,111,0x0A567F6F
83,DOWN,41,3096,0,133,0x4A583085
84,UP,42,2863,1,111,0x0A965F6F
85,DOWN,42,3047,0,133,0x4A97CE85
86,UP,43,2829,1,111,0x0AD61B6F
87,DOWN,43,3036,0,133,0x4AD7B885
88,UP,44,2829,1,111,0x0B161B6F
89,DOWN,44,3036,0,133,0x4B17B885
90,UP,45,2829,1,111,0x0B561B6F
91,DOWN,45,3010,0,133,0x4B578485
92,UP,46,2808,1,111,0x0B95F16F
93,DOWN,46,2997,0,133,0x4B976A85
94,UP,47,2794,1,111,0x0BD5D56F
95,DOWN,47,2972,0,133,0x4BD73885
96,UP,48,2779,1,111,0x0C15B76F
97,DOWN,48,2972,0,133,0x4C173885
98,UP,49,2763,1,111,0x0C55976F
99,DOWN,49,2925,0,133,0x4C56DA85
100,UP,50,2728,1,111,0x0C95516F
101,DOWN,50,2916,0,133,0x4C96C885
102,UP,51,2728,1,111,0x0CD5516F
103,DOWN,51,2916,0,133,0x4CD6C885
104,UP,52,2712,1,111,0x0D15316F
105,DOWN,52,2902,0,133,0x4D16AC85
106,UP,53,2695,1,111,0x0D550F6F
107,DOWN,53,2869,0,133,0x4D566A85
108,UP,54,2676,1,111,0x0D94E96F
109,DOWN,54,2852,0,133,0x4D964885
110,UP,55,2662,1,111,0x0DD4CD6F
111,DOWN,55,2837,0,133,0x4DD62A85
112,UP,56,2619,1,111,0x0E14776F
113,DOWN,56,2785,0,133,0x4E15C285
114,UP,57,2598,1,111,0x0E544D6F
115,DOWN,57,2785,0,133,0x4E55C285
116,UP,58,2598,1,111,0x0E944D6F
117,DOWN,58,2799,0,133,0x4E95DE85
118,UP,59,2562,1,111,0x0ED4056F
119,DOWN,59,2768,0,133,0x4ED5A085
120,UP,60,2562,1,111,0x0F14056F
121,DOWN,60,2752,0,133,0x4F158085
122,UP,61,2538,1,111,0x0F53D56F
123,DOWN,61,2717,0,133,0x4F553A85
124,UP,62,2510,1,111,0x0F939D6F
125,DOWN,62,2702,0,133,0x4F951C85
126,UP,63,2510,1,111,0x0FD39D6F
127,DOWN,63,2677,0,133,0x4FD4EA85
128,UP,64,2471,1,111,0x10134F6F
129,DOWN,64,2677,0,133,0x5014EA85
130,UP,65,2471,1,111,0x10534F6F
131,DOWN,65,2677,0,133,0x5054EA85
132,UP,66,2471,1,111,0x10934F6F
133,DOWN,66,2636,0,133,0x50949885
134,UP,67,2448,1,111,0x10D3216F
135,DOWN,67,2621,0,133,0x50D47A85
136,UP,68,2423,1,111,0x1112EF6F
137,DOWN,68,2605,0,133,0x51145A85
138,UP,69,2384,1,111,0x1152A16F
139,DOWN,69,2592,0,133,0x51544085
140,UP,70,2384,1,111,0x1192A16F
141,DOWN,70,2554,0,133,0x5193F485
142,UP,71,2356,1,111,0x11D2696F
143,DOWN,71,2554,0,133,0x51D3F485
144,UP,72,2356,1,111,0x1212696F
145,DOWN,72,2528,0,133,0x5213C085
146,UP,73,2356,1,111,0x1252696F
147,DOWN,73,2512,0,133,0x5253A085
148,UP,74,2323,1,111,0x1292276F
149,DOWN,74,2493,0,133,0x52937A85
150,UP,75,2312,1,111,0x12D2116F
151,DOWN,75,2493,0,133,0x52D37A85
152,UP,76,2280,1,111,0x1311D16F
153,DOWN,76,2472,0,133,0x53135085
154,UP,77,2252,1,111,0x1351996F
155,DOWN,77,2438,0,133,0x53530C85
