# TDC UART 扫描数据
# 生成时间: 2026-01-07 19:44:39
# Index, Type, ID, Fine, Flag, Coarse, Raw_Hex
0,UP,0,3654,1,117,0x001C8D75
1,DOWN,0,3696,0,139,0x401CE08B
2,UP,1,3620,1,117,0x005C4975
3,DOWN,1,3663,0,139,0x405C9E8B
4,UP,2,3620,1,117,0x009C4975
5,DOWN,2,3676,0,139,0x409CB88B
6,UP,3,3620,1,117,0x00DC4975
7,DOWN,3,3646,0,139,0x40DC7C8B
8,UP,4,3601,1,117,0x011C2375
9,DOWN,4,3626,0,139,0x411C548B
10,UP,5,3584,1,117,0x015C0175
11,DOWN,5,3626,0,139,0x415C548B
12,UP,6,3554,1,117,0x019BC575
13,DOWN,6,3591,0,139,0x419C0E8B
14,UP,7,3554,1,117,0x01DBC575
15,DOWN,7,3568,0,139,0x41DBE08B
16,UP,8,3531,1,117,0x021B9775
17,DOWN,8,3568,0,139,0x421BE08B
18,UP,9,3531,1,117,0x025B9775
19,DOWN,9,3568,0,139,0x425BE08B
20,UP,10,3506,1,117,0x029B6575
21,DOWN,10,3552,0,139,0x429BC08B
22,UP,11,3506,1,117,0x02DB6575
23,DOWN,11,3515,0,139,0x42DB768B
24,UP,12,3476,1,117,0x031B2975
25,DOWN,12,3515,0,139,0x431B768B
26,UP,13,3459,1,117,0x035B0775
27,DOWN,13,3500,0,139,0x435B588B
28,UP,14,3441,1,117,0x039AE375
29,DOWN,14,3471,0,139,0x439B1E8B
30,UP,15,3409,1,117,0x03DAA375
31,DOWN,15,3456,0,139,0x43DB008B
32,UP,16,3423,1,117,0x041ABF75
33,DOWN,16,3439,0,139,0x441ADE8B
34,UP,17,3394,1,117,0x045A8575
35,DOWN,17,3428,0,139,0x445AC88B
36,UP,18,3360,1,117,0x049A4175
37,DOWN,18,3407,0,139,0x449A9E8B
38,UP,19,3360,1,117,0x04DA4175
39,DOWN,19,3389,0,139,0x44DA7A8B
40,UP,20,3351,1,117,0x051A2F75
41,DOWN,20,3389,0,139,0x451A7A8B
42,UP,21,3311,1,117,0x0559DF75
43,DOWN,21,3354,0,139,0x455A348B
44,UP,22,3281,1,116,0x0599A374
45,DOWN,22,3354,0,139,0x459A348B
46,UP,23,3281,1,116,0x05D9A374
47,DOWN,23,3329,0,139,0x45DA028B
48,UP,24,3260,1,116,0x06197974
49,DOWN,24,3311,0,138,0x4619DE8A
50,UP,25,3260,1,116,0x06597974
51,DOWN,25,3292,0,138,0x4659B88A
52,UP,26,3234,1,116,0x06994574
53,DOWN,26,3277,0,138,0x46999A8A
54,UP,27,3234,1,116,0x06D94574
55,DOWN,27,3254,0,138,0x46D96C8A
56,UP,28,3176,1,116,0x0718D174
57,DOWN,28,3233,0,138,0x4719428A
58,UP,29,3176,1,116,0x0758D174
59,DOWN,29,3207,0,138,0x47590E8A
60,UP,30,3162,1,116,0x0798B574
61,DOWN,30,3207,0,138,0x47990E8A
62,UP,31,3151,1,116,0x07D89F74
63,DOWN,31,3177,0,138,0x47D8D28A
64,UP,32,3122,1,116,0x08186574
65,DOWN,32,3159,0,138,0x4818AE8A
66,UP,33,3106,1,116,0x08584574
67,DOWN,33,3149,0,138,0x48589A8A
68,UP,34,3087,1,116,0x08981F74
69,DOWN,34,3124,0,138,0x4898688A
70,UP,35,3049,1,116,0x08D7D374
71,DOWN,35,3098,0,138,0x48D8348A
72,UP,36,3034,1,116,0x0917B574
73,DOWN,36,3098,0,138,0x4918348A
74,UP,37,3049,1,116,0x0957D374
75,DOWN,37,3098,0,138,0x4958348A
76,UP,38,3034,1,116,0x0997B574
77,DOWN,38,3074,0,138,0x4998048A
78,UP,39,3018,1,116,0x09D79574
79,DOWN,39,3049,0,138,0x49D7D28A
80,UP,40,2998,1,116,0x0A176D74
81,DOWN,40,3038,0,138,0x4A17BC8A
82,UP,41,2981,1,116,0x0A574B74
83,DOWN,41,3025,0,138,0x4A57A28A
84,UP,42,2959,1,116,0x0A971F74
85,DOWN,42,2998,0,138,0x4A976C8A
86,UP,43,2931,1,116,0x0AD6E774
87,DOWN,43,2988,0,138,0x4AD7588A
88,UP,44,2931,1,116,0x0B16E774
89,DOWN,44,2998,0,138,0x4B176C8A
90,UP,45,2911,1,116,0x0B56BF74
91,DOWN,45,2973,0,138,0x4B573A8A
92,UP,46,2901,1,116,0x0B96AB74
93,DOWN,46,2944,0,138,0x4B97008A
94,UP,47,2891,1,116,0x0BD69774
95,DOWN,47,2926,0,138,0x4BD6DC8A
96,UP,48,2879,1,116,0x0C167F74
97,DOWN,48,2918,0,138,0x4C16CC8A
98,UP,49,2849,1,116,0x0C564374
99,DOWN,49,2889,0,138,0x4C56928A
100,UP,50,2830,1,116,0x0C961D74
101,DOWN,50,2872,0,138,0x4C96708A
102,UP,51,2808,1,116,0x0CD5F174
103,DOWN,51,2872,0,138,0x4CD6708A
104,UP,52,2793,1,116,0x0D15D374
105,DOWN,52,2822,0,138,0x4D160C8A
106,UP,53,2779,1,116,0x0D55B774
107,DOWN,53,2802,0,138,0x4D55E48A
108,UP,54,2748,1,116,0x0D957974
109,DOWN,54,2788,0,138,0x4D95C88A
110,UP,55,2730,1,116,0x0DD55574
111,DOWN,55,2770,0,138,0x4DD5A48A
112,UP,56,2684,1,116,0x0E14F974
113,DOWN,56,2719,0,138,0x4E153E8A
114,UP,57,2662,1,116,0x0E54CD74
115,DOWN,57,2679,0,138,0x4E54EE8A
116,UP,58,2676,1,116,0x0E94E974
117,DOWN,58,2704,0,138,0x4E95208A
118,UP,59,2639,1,116,0x0ED49F74
119,DOWN,59,2679,0,138,0x4ED4EE8A
120,UP,60,2615,1,116,0x0F146F74
121,DOWN,60,2679,0,138,0x4F14EE8A
122,UP,61,2601,1,116,0x0F545374
123,DOWN,61,2652,0,138,0x4F54B88A
124,UP,62,2581,1,116,0x0F942B74
125,DOWN,62,2637,0,138,0x4F949A8A
126,UP,63,2568,1,116,0x0FD41174
127,DOWN,63,2606,0,138,0x4FD45C8A
128,UP,64,2554,1,116,0x1013F574
129,DOWN,64,2593,0,138,0x5014428A
130,UP,65,2554,1,116,0x1053F574
131,DOWN,65,2593,0,138,0x5054428A
132,UP,66,2538,1,116,0x1093D574
133,DOWN,66,2575,0,138,0x50941E8A
134,UP,67,2524,1,116,0x10D3B974
135,DOWN,67,2557,0,138,0x50D3FA8A
136,UP,68,2510,1,116,0x11139D74
137,DOWN,68,2532,0,138,0x5113C88A
138,UP,69,2493,1,116,0x11537B74
139,DOWN,69,2517,0,138,0x5153AA8A
140,UP,70,2474,1,116,0x11935574
141,DOWN,70,2517,0,138,0x5193AA8A
142,UP,71,2451,1,116,0x11D32774
143,DOWN,71,2486,0,138,0x51D36C8A
144,UP,72,2451,1,116,0x12132774
145,DOWN,72,2476,0,138,0x5213588A
146,UP,73,2426,1,116,0x1252F574
147,DOWN,73,2460,0,138,0x5253388A
148,UP,74,2410,1,116,0x1292D574
149,DOWN,74,2442,0,138,0x5293148A
150,UP,75,2387,1,116,0x12D2A774
151,DOWN,75,2423,0,138,0x52D2EE8A
152,UP,76,2387,1,116,0x1312A774
153,DOWN,76,2396,0,138,0x5312B88A
154,UP,77,2337,1,116,0x13524374
155,DOWN,77,2371,0,138,0x5352868A
